TEAM,GP,W,L,MIN,OPPFGM,OPPFGA,OPPFG%,OPP3PM,OPP3PA,OPP3P%,OPPFTM,OPPFTA,OPPFT%,OPPOREB,OPPDREB,OPPREB,OPPAST,OPPTOV,OPPSTL,OPPBLK,OPPBLKA,OPPPF,OPPPFD,OPPPTS,+/-
Denver Nuggets,82,57,25,48.5,38.1,85.7,44.4,8.4,23.1,36.3,16.6,22.7,73.1,12.4,29.2,41.6,23.6,15.9,8,6.8,6.5,21.6,20.5,101.1,-5.1
Detroit Pistons,82,29,53,48.3,37.3,81.2,45.9,7.4,20.4,36,16.9,22.2,76.2,11.1,30.7,41.8,22.4,13.7,8.4,5.8,4.9,19.9,19.8,98.8,4
Golden State Warriors,82,47,35,48.3,37.2,84.8,43.9,8,23.1,34.7,17.9,23.9,74.8,11.1,31.7,42.7,23.5,13.5,8.2,4.9,4.2,19.2,21.4,100.3,-0.9
Houston Rockets,82,45,37,48.2,38.8,85.5,45.4,8.1,21.9,36.8,16.8,21.6,77.6,10.7,31,41.6,22.7,14.8,8.5,6.1,4.4,20.4,20.3,102.5,-3.5
Indiana Pacers,81,49,32,48.4,34.5,82.2,42,5.4,16.6,32.7,16.2,21.3,76,11.2,29.6,40.9,19.2,13.5,7.5,5.7,6.3,21.9,20,90.7,-4
Los Angeles Clippers,82,56,26,48.1,34.6,78,44.3,7.6,20.5,37.3,17.9,23.9,74.9,10.9,28.2,39.1,22.1,16.1,7.4,4.1,5.6,20.9,20.9,94.6,-6.5
Los Angeles Lakers,82,45,37,48.2,39.7,87.6,45.3,7.5,21,35.7,14.2,19.4,73.2,11.5,31.1,42.7,23.4,12.9,8.5,4.8,5.2,23.1,17.9,101,-1.2
Memphis Grizzlies,82,56,26,48.3,33.5,77,43.5,6.1,18.2,33.8,16.1,21.5,74.8,10.3,28.8,39.1,19.5,15.5,7.3,5.5,5.3,20,20.2,89.3,-4.1
Miami Heat,82,66,16,48.5,35.6,80.9,44,7.6,21.7,35,16.2,21.2,76.6,11.2,28.9,40.1,20.2,15.6,7.9,3.2,5.4,20.4,18.7,95,-7.9
Milwaukee Bucks,82,38,44,48.4,38.4,84.7,45.4,6.5,18.5,34.8,17,22.5,75.9,12.4,33.6,46,23.1,16,8,4.4,6.7,19.1,19,100.4,1.5
Minnesota Timberwolves,82,31,51,48.1,38,81.2,46.8,7,19,36.9,15.2,20.1,75.2,10.6,31.5,42.1,22.3,15.9,8.1,5.9,4.7,22.5,18.4,98.1,2.4
New Orleans Hornets,82,27,55,48.2,37,78.5,47.1,7.7,20.6,37.4,16.3,21.5,75.9,10.2,29.2,39.3,23.4,13.2,7.9,6,5.4,18.7,20.4,97.9,3.9
New York Knicks,82,54,28,48.1,35.6,77.6,45.8,7.8,21.8,35.7,16.8,22.2,75.7,10,31.6,41.6,19.3,15.1,6.4,4,3.6,19.2,20.1,95.7,-4.2
Oklahoma City Thunder,82,60,22,48.4,36.2,85,42.5,7.4,21.5,34.6,16.7,21.6,77.4,12,28.7,40.7,20.5,14.8,8.2,3.9,7.6,20.7,20.2,96.5,-9.2
Orlando Magic,82,20,62,48.2,38.6,83.4,46.3,7.5,21,35.9,16.3,22.1,73.8,10.8,31.9,42.8,23.7,12.4,7.2,5.2,4.4,16.5,19.4,101.1,7
Philadelphia 76ers,82,34,48,48.2,36.8,81,45.4,6.7,19.2,34.9,16.2,21.4,76,11,33,44,22.8,14.3,7.2,4.8,4.7,16.2,18.4,96.5,3.3
Phoenix Suns,82,25,57,48.3,38.8,82.6,47,6.9,17.9,38.8,17.1,22.6,75.7,11.7,31.7,43.4,22.8,15.3,8.3,5.1,5.3,18.4,20.6,101.6,6.5
Portland Trail Blazers,82,33,49,48.4,39.3,83,47.4,6.4,18.7,34,15.7,20.6,76.1,11,31.4,42.4,23.7,13.1,8.4,4.4,4.3,18.7,18.5,100.7,3.2
Sacramento Kings,82,28,54,48.4,39.3,83.3,47.2,7.6,21.5,35.5,18.9,24.1,78.3,11.9,31.7,43.6,25.1,14.7,7.6,6.3,4.2,20,20.9,105.1,4.9
San Antonio Spurs,82,58,24,48.5,37.5,84.9,44.2,6.3,17.9,35.3,15.2,20,76,11.1,31.4,42.5,21.4,14.9,8.2,4.9,5.4,19.1,17.4,96.6,-6.4
Toronto Raptors,82,34,48,48.7,36.2,79.2,45.8,6.7,18.4,36.1,19.6,26.2,74.7,10.7,31,41.7,21.9,14.3,7,4.7,4.8,20.1,22.4,98.7,1.5
Utah Jazz,82,43,39,48.5,36.6,79.9,45.8,6.8,18.5,37,18,23.8,75.7,11,29.8,40.8,20.6,14.7,7.8,5.9,6.3,20.4,21.3,98.1,0.1
Washington Wizards,82,29,53,48.4,35.9,81.7,44,7.1,20.5,34.9,16.8,22.8,73.8,11,33.2,44.2,21.5,14.5,7.8,4.4,4.6,19.1,20.5,95.8,2.5
Atlanta Hawks,66,40,26,49,36.1,81.3,44.4,5.9,17.2,34.4,15.1,20.1,75.3,10.8,31.5,42.3,20.5,15.1,7.5,4.7,4.6,19.1,17.8,93.2,-3.4
Boston Celtics,66,39,27,48.3,33.4,79.7,41.9,5.2,16.9,30.8,17.2,22.7,76,11.8,31.4,43.2,18.7,15.7,7.8,4.6,5.5,18.4,19.9,89.3,-2.5
Charlotte Bobcats,66,7,59,48.2,38.9,82,47.5,6.2,17.3,35.6,16.9,22.5,75,11.8,33.2,45,23.3,13.5,7.6,5.7,5.5,20.3,18.9,100.9,13.9
Chicago Bulls,66,50,16,48.3,34.6,82.1,42.1,4.6,14.2,32.5,14.3,19.4,74,11.4,28.6,40,18.9,13.3,7.4,5.2,5.9,17.7,17.3,88.2,-8.2
Cleveland Cavaliers,66,21,45,48.4,38.4,82.3,46.7,6.8,18.7,36.2,16.6,22.2,74.8,11.4,31.4,42.8,23.1,13.9,7.9,6.2,4,20.9,20,100.2,7.2
Dallas Mavericks,66,36,30,48.7,35.6,81.7,43.5,7.2,20.7,34.6,16.5,22.1,75,11,32.9,43.9,20.5,14.7,8.5,4,5.1,18.4,18.6,94.8,-1
Denver Nuggets,66,38,28,48.6,38.5,84.4,45.6,8.7,22.6,38.3,15.6,20.5,75.9,11.1,29.2,40.3,23.2,15.6,7.9,6.7,5,22,19.7,101.2,-2.9
Detroit Pistons,66,25,41,48.4,36,78,46.2,6,16.9,35.5,17.6,23,76.5,10.7,30.1,40.7,22.5,14.5,8.5,5.3,4.2,19.4,19.6,95.7,4.8
Golden State Warriors,66,23,43,48.2,37.3,82.3,45.3,7.1,19.4,36.5,19.5,26.1,74.7,13.2,32.7,45.8,23.1,14.8,7.6,5,5.5,16.6,21.4,101.2,3.4
Houston Rockets,66,34,32,48.7,37.5,82.2,45.6,5.6,17.2,32.5,17.3,22.6,76.6,11,30.7,41.8,20,14.7,7.5,5.2,4.8,18.4,20.4,97.9,-0.2
Indiana Pacers,66,42,24,48.5,34.9,80.4,43.5,6.7,19.1,35.1,17.9,24.5,72.9,12,30.3,42.3,19.6,14.9,6.6,6,5.4,21.6,21.7,94.4,-3.3
Los Angeles Clippers,66,40,26,48.4,34.5,77.2,44.7,7,19.1,36.5,19,25.4,74.6,10.8,29,39.8,20.7,14.6,6,4.5,4.8,21.2,21.2,95,-2.6
Los Angeles Lakers,66,41,25,48.7,37.8,86.4,43.7,6.7,19.3,34.8,13.7,18.4,74.2,11.5,29.5,41,21.9,11.3,8.4,4.6,5.3,20.2,16.8,95.9,-1.4
Memphis Grizzlies,66,41,25,48.3,34.5,77.8,44.4,6.3,18.3,34.5,17.6,23.1,76.4,11,29.6,40.7,19.3,17.1,7.8,5.5,5.2,19.3,19.9,93,-2
Miami Heat,66,46,20,48.6,34.6,79.8,43.4,7.3,20,36.3,16,22.1,72.5,11,28.7,39.8,19.7,16.8,8.3,4.2,5.4,20.5,19.4,92.5,-6
Milwaukee Bucks,66,31,35,48.1,37.1,82.6,44.9,6.6,18.9,35.1,17.9,23.3,76.9,12.3,32.4,44.7,21.7,15.9,7.6,4.5,5.1,19.4,19.3,98.7,-0.3
Minnesota Timberwolves,66,26,40,48.3,39,85.7,45.5,6.2,18.1,34,16,21.2,75.5,11.7,31.8,43.4,21.5,13.3,8.3,5.7,4.4,21.7,18.4,100.1,2.2
New Jersey Nets,66,22,44,48.2,37.9,80.2,47.2,6.5,17.4,37.4,16.8,22.6,74,11.8,30.8,42.6,23.3,14.3,8,5,3.9,19.3,19.2,99.1,6
New Orleans Hornets,66,21,45,48.3,34.9,78.6,44.4,6.4,20.3,31.7,17.1,22.5,75.9,11.1,28.9,40,20.9,13.9,7.9,5.8,4.8,18.7,20.1,93.4,3.8
New York Knicks,66,36,30,48.3,35.1,79.4,44.2,6.7,18.8,35.9,17.7,24.1,73.6,10.9,31,41.8,18.9,17,8.1,5.1,4.2,21.8,21.1,94.7,-3.2
Oklahoma City Thunder,66,47,19,48.5,36.4,85.3,42.7,6.4,18.7,34.2,17.7,23,76.8,12.7,28.6,41.3,19.9,14.2,8.2,4.9,8.2,20,20.5,96.9,-6.1
Orlando Magic,66,37,29,48.4,35.9,80.1,44.9,6.3,18.1,34.7,15.2,19.7,77.2,10.1,31.2,41.3,20.5,13.1,7.5,4.1,4.2,19.8,17.7,93.4,-0.8
Philadelphia 76ers,66,35,31,48.2,34.3,80.3,42.7,5.4,16.2,33.4,15.4,20.5,75.2,10.7,33,43.7,19.6,13.9,5.9,4.8,5.2,16.2,17.5,89.4,-4.2
Phoenix Suns,66,33,33,48,38,83.5,45.5,6,17.1,35.2,16.7,21.9,76.2,12.2,31.3,43.4,21.5,14.1,8,4.4,5.5,19.6,18.7,98.6,0.2
Portland Trail Blazers,66,28,38,48.4,37.5,81,46.3,6.7,18.4,36.3,16.1,21.5,74.7,11.1,31.2,42.3,21.1,14.9,7.6,4.8,4.9,19.8,19,97.8,0.6
Sacramento Kings,66,22,44,48.2,40.4,85,47.6,6.7,18.7,35.5,16.9,22.2,76.2,12.3,32.6,45,23.8,15.4,7.8,6.4,4.9,19.9,19.5,104.4,5.7
San Antonio Spurs,66,50,16,48.3,38.1,84.2,45.2,6.2,17.7,35.3,14.1,18.7,75.6,10.3,30.9,41.2,19.6,13.7,7.4,5,4.4,18.8,17.3,96.5,-7.2
Toronto Raptors,66,23,43,48.4,33.8,77.7,43.5,6.1,18.5,32.8,20.2,27.2,74.4,10.3,30.3,40.5,20.1,13.2,7.2,4.9,4.9,18.4,23.2,94,3.3
Utah Jazz,66,36,30,49,36.4,80.5,45.3,6.5,19.1,34,19.7,26.2,75.4,11,30.1,41.2,20.5,14.7,7.5,5.7,5.8,20.7,21.8,99,-0.6
Washington Wizards,66,20,46,48.1,36.7,81.1,45.3,6.5,18.4,35,18.6,24.5,75.8,12.3,31.2,43.5,21.5,15.2,7.9,4.5,6.3,18.7,21.3,98.4,4.8
Atlanta Hawks,82,44,38,48.1,36.7,79.7,46,5.6,16.6,33.8,16.8,21.7,77.4,10.2,30.3,40.6,21.4,12.5,6.7,4.2,4.2,18.5,19,95.8,0.8
Boston Celtics,82,56,26,48.2,33.8,77.7,43.4,5.4,15.9,34,18.2,24.1,75.6,10.5,29.1,39.6,18.7,15.4,7,4.4,4.2,20.2,20.5,91.1,-5.4
Charlotte Bobcats,82,34,48,48.3,36,79.2,45.5,7,19.6,35.9,18.2,23.3,78,9.8,29.8,39.6,21.7,13.2,7.3,6,5.3,21.1,20,97.3,4
Chicago Bulls,82,62,20,48.4,34.2,79.5,43,5.2,16,32.6,17.7,23.1,76.4,10.1,28.3,38.4,19,14.1,6.9,5.8,5.7,20.1,20,91.3,-7.3
Cleveland Cavaliers,82,19,63,48.2,39.4,83,47.5,8.1,19.7,41.1,17.5,23.1,75.9,10.9,32.6,43.5,24.2,13.5,7.5,6,4.2,21.3,20.1,104.5,9
Dallas Mavericks,82,57,25,48.1,36.5,81.2,45,6.2,18,34.3,16.7,22.3,75,10.7,30,40.7,20.6,13.6,7.6,3.7,4.3,20.1,19.2,96,-4.2
Denver Nuggets,82,50,32,48.1,38.5,83.9,45.9,7,20.4,34.4,18.8,24.8,75.6,10.5,30.8,41.3,22.2,13.7,7.5,6,4.3,22.7,21,102.7,-4.8
Detroit Pistons,82,30,52,48.5,37.9,78.1,48.6,6.4,17.8,35.8,18.3,23.9,76.6,10.6,30.1,40.7,23.3,14.1,6.9,4.6,4,18.8,19.9,100.6,3.6
Golden State Warriors,82,36,46,48.4,38.7,82.8,46.7,6.9,19.3,35.8,21.4,27.6,77.6,12.8,32,44.8,24.7,16.1,8.2,4.3,5,18.4,22,105.7,2.3
Houston Rockets,82,43,39,48.5,39.8,85.1,46.8,5.5,15.2,35.8,18.6,23.8,78.1,11.6,31.1,42.8,20.8,13.7,7.2,5.5,4.5,21.4,20,103.7,-2.2
Indiana Pacers,82,37,45,48.2,37.5,83.4,44.9,6.2,17.4,35.9,19.7,26.3,75,11.4,31.9,43.3,20.4,13.9,7.5,5.7,5.6,21.4,21.7,100.9,1.1
Los Angeles Clippers,82,32,50,48.4,37.1,81.6,45.5,7.1,19.5,36.5,20.4,26.4,77.1,11.1,29.4,40.5,22.3,13.7,8,4.9,4.9,22.1,21.1,101.8,3.1
Los Angeles Lakers,82,57,25,48.4,36.7,84,43.7,6.8,20.3,33.5,15.2,19.9,76.5,12.2,29.3,41.5,22.3,13.6,7.1,4.5,5.1,20.7,19,95.4,-6.1
Memphis Grizzlies,82,46,36,48.5,36.2,79.1,45.7,7.2,19.4,36.9,18.1,23.8,76.1,11,29.1,40.1,21,16.7,7.5,6.2,5.4,21.4,20.8,97.6,-2.3
Miami Heat,82,58,24,48.2,35,80.7,43.4,6.7,19.3,34.5,18,24.1,74.4,10.5,28.6,39.2,20.1,13.2,7,3,5.2,21.8,20.4,94.6,-7.5
Milwaukee Bucks,82,35,47,48.4,34.6,77.3,44.7,5.3,16,33.4,18.3,23.7,77,10.2,32.1,42.3,20.2,15.2,6.2,4.8,4.9,20.7,20.5,92.7,0.8
Minnesota Timberwolves,82,17,65,48.2,39.4,84.2,46.8,7.8,20.8,37.4,21.1,27.2,77.8,11.1,31.4,42.6,24.8,14.4,9.5,5.5,5.1,20.9,22.3,107.7,6.6
New Jersey Nets,82,24,58,48.8,37.4,80.5,46.5,6.2,17,36.4,19.4,25.8,75.1,10.4,31.4,41.8,22.2,12.3,6.8,4.6,4.7,20,22,100.4,6.2
New Orleans Hornets,82,46,36,48.4,35.1,76.9,45.7,6.8,19,35.7,17,22,77,9.4,30,39.3,21.2,14.5,6.1,4.8,4.4,20.4,21,94,-0.9
New York Knicks,82,42,40,48.2,39.5,83.8,47.2,6.5,17.6,37.2,20.1,26.4,76.2,11.8,32.3,44,20.5,15.2,7.1,4.4,5.8,20.8,21.3,105.7,-0.8
Oklahoma City Thunder,82,55,27,48.8,38.1,83.2,45.8,5.9,16.3,36.1,19,25.5,74.4,11.4,29.2,40.6,20.9,14,7.2,4.3,5.9,21.5,22.4,101,-3.8
Orlando Magic,82,52,30,48.4,34.9,80.1,43.6,6.3,18,35,17.6,23.7,74.3,9.8,29.9,39.7,20.1,13.9,7.4,3.8,4.7,21.8,20,93.7,-5.5
Philadelphia 76ers,82,41,41,48.6,36.5,81,45.1,5.7,16.8,34,18.7,24.2,77.3,10.7,31.8,42.5,21.5,14.2,7.1,4.6,4.3,18.8,19.4,97.5,-1.5
Phoenix Suns,82,40,42,48.8,40.4,85.6,47.2,7.1,19.5,36.7,18.1,24,75.4,12,32.3,44.3,23,14.5,7.9,4.3,4.4,21.2,20.3,105.9,0.9
Portland Trail Blazers,82,48,34,48.3,35.4,75.8,46.7,6.5,17.6,36.7,17.5,22.8,76.7,10.6,29.1,39.7,19.2,15.7,6.9,4.1,4.4,21.3,19.3,94.8,-1.5
Sacramento Kings,82,24,58,48.4,39.8,83.2,47.8,5.9,16.5,35.5,19.4,25.4,76.2,10.6,30.6,41.2,21.7,14.7,8.1,5.7,4.8,21,22,104.7,5.3
San Antonio Spurs,82,61,21,48.2,38.1,83.7,45.6,5.8,15.9,36.7,15.9,20.7,76.6,10.8,30.4,41.2,20.5,13.4,6.9,4.6,4.5,20.7,19,98,-5.7
Toronto Raptors,82,22,60,48.2,39.2,81.3,48.2,6.6,17.5,37.6,20.4,26.5,76.9,11.1,30,41.1,22.6,13.9,7.6,5.6,4.3,19.8,22,105.4,6.3
Utah Jazz,82,39,43,48.5,36.2,78.8,45.9,7.2,19.2,37.6,21.7,27.9,77.8,11.3,29.6,40.9,20.7,14.6,7.4,5,5.9,22,22.7,101.3,1.8
Washington Wizards,82,23,59,48.6,38.7,82.2,47.1,6.8,18.3,37.3,20.4,26.9,76.1,12.1,31.8,43.9,23.1,15.8,7.6,5,6.1,20.3,22.6,104.7,7.4
